"Transactional emails","E-mails de transações"
"Customers synchronization","Sincronização de clientes"
"Sent email report","Relatório dos e-mails enviados"
"Send emails","Enviar os e-mails"
"Minify <abbr title=""HyperText Markup Language"">HTML</abbr> code","Minificar o código <abbr title=""Linguagem de marcação de hipertexto (HyperText Markup Language)"">HTML</abbr>"
"Number of emails per page","Número de e-mails por página"
"Show the subject column","Afixar a coluna tema"
"Show the size column","Afixar a coluna medida"
"Show the created at column","Afixar a coluna criado a"
"Number of emails","Número de e-mails"
"Table size","Medida da mesa"
"Manually","Manualmente"
"Email reports","Relatórios por e-mail"
"Separate addresses by a space.","Separar os endereços por um espaço."
"<abbr title=""Application Programming Interface"">API</abbr> synchronization","Sincronização <abbr title=""Interface de Programação de Aplicações (Application Programming Interface)"">API</abbr>"
"
						<p>Synchronization allow to synchronize customer data from <strong>Magento</strong> to your <strong>System</strong>.<br />It is performed every minutes by cron job on the following events (whether from the backend or from the frontend):</p>
						<ul>
							<li>when customer login,</li>
							<li>when saving or deleting a customer,</li>
							<li>when saving or deleting a subscriber,</li>
							<li>when saving a shipping or a billing address of a customer,</li>
							<li>when invoicing an order.</li>
						</ul>
						<p><strong>Warning! We must enable synchronization only when configuring the synchronization is complete.</strong></p>
					","<p>A sincronização permite sincronizar os dados de clientes de <strong>Magento</strong> para o seu <strong>Sistema</strong>.<br />É efetuada every minutes by cron job nos eventos seguintes (seja desde o front-office ou desde o back-office):</p>
<ul>
<li>durante a conexão de um cliente,</li>
<li>durante o registo ou a supressão de um cliente,</li>
<li>durante o registo ou a supressão de um assinante,</li>
<li>durante o registo do endereço de entrega e de faturação de um cliente,</li>
<li>durante a faturação de um pedido.</li>
</ul>
<p><strong>Cuidado! É preciso ativar a sincronização unicamente quando a configuração da sincronização for completada.</strong></p>"
"Lifetime of the synchronization history","Tempo de vida do histórico de sincronização"
"<abbr title=""Application Programming Interface"">API</abbr>","<abbr title=""Interface de Programação de Aplicações (Application Programming Interface)"">API</abbr>"
"Correspondence of attributes","Correspondência dos atributos"
"Invalid emails import","Importação dos e-mails inválidos"
"<p>This import allows to import invalid emails from your <strong>System</strong> to <strong>Magento</strong>.<br />It is carried out punctually by cron job (maximum once per day) thanks to the newest file in the specified folder below.</p>","<p>Esta importação permite importar os e-mails inválidos desde o seu <strong>Sistema</strong> para <strong>Magento</strong>.<br />É efetuada pontualmente por tarefa cron (no máximo uma vez por dia) graças ao ficheiro mais recente contido na pasta definida abaixo.</p>"
