"Transactional emails","Transaktions-E-Mails"
"Customers synchronization","Kundensynchronisierung"
"Sent email report","Gesendete E-Mails-Bericht"
"Send emails","E-Mails versenden"
"Minify <abbr title=""HyperText Markup Language"">HTML</abbr> code","Kode verkleinern <abbr title=""Hypertext-Auszeichnungssprache (HyperText Markup Language)"">HTML</abbr>"
"May require <a href=""http://us.php.net/manual/en/book.tidy.php"">PHP-TIDY</a>.","Benötigt eventuell <a href=""http://de.php.net/manual/de/book.tidy.php"">PHP-TIDY</a>."
"Sending method","Sendenmethode"
"Number of emails per page","E-Mails pro Seite"
"Show the subject column","Die Betreffspalte anzeigen"
"Show the size column","Die Grössenspalte anzeigen"
"Show the created at column","Die Erschaffungsspalte anzeigen"
"Number of emails","Anzahl der E-Mails"
"Table size","Tabellengröße"
"Email reports","Berichte pro E-Mail"
"Separate addresses by a space.","E-Mail-Adressen durch einen Abstand trennen."
"<abbr title=""Application Programming Interface"">API</abbr> synchronization","Synchronisierung <abbr title=""Programmierschnittstelle (Application Programming Interface)"">API</abbr>"
"
						<p>Synchronization allow to synchronize customer data from <strong>Magento</strong> to your <strong>System</strong>.<br />It is performed in real time on the following events (whether from the backend or from the frontend):</p>
						<ul>
							<li>when customer login,</li>
							<li>when saving or deleting a customer,</li>
							<li>when saving or deleting a subscriber,</li>
							<li>when saving a shipping or a billing address of a customer,</li>
							<li>when invoicing an order.</li>
						</ul>
						<p><strong>Warning! We must enable synchronization only when configuring the synchronization is complete.</strong></p>
					","<p>Die Synchronisation ermöglicht, die Daten der Kunden von <strong>Magento</strong> zu Ihrem <strong>System</strong> zu synchronisieren.<br />Sie wird in Realzeit auf den folgenden Ereignissen realisiert (entweder aus dem Frontend oder aus dem Backend):</p>
<ul>
<li>bei der Verbindung eines Kunden,</li>
<li>bei der Registrierung oder der Abschaffung eines Kunden,</li>
<li>bei der Registrierung oder der Abschaffung eines Abonnenten,</li>
<li>bei der Registrierung einer Lieferungs-und Rechnungstellungsadresse eines Kunden,</li>
<li>bei der Rechnungstellung einer Bestellung.</li>
</ul>
<p><strong>Achtung! Die Synchronisation muss nur aktiviert werden, wenn die Konfiguration der Synchronisation beendet wird.</strong></p>"
"Lifetime of the synchronization history","Lebensdauer vom Synchronisierunghistory-Speicher"
"<abbr title=""Application Programming Interface"">API</abbr>","<abbr title=""Programmierschnittstelle (Application Programming Interface)"">API</abbr>"
"Correspondence of attributes","Übereinstimmung der Attribute"
"Invalid emails import","Import der ungültigen E-Mails"
"<p>This import allows to import invalid emails from your <strong>System</strong> to <strong>Magento</strong>.<br />It is carried out punctually by cron job (maximum once per day) thanks to the newest file in the specified folder below.</p>","<p>Dieser Import ermöglicht, ungültige E-Mails seit Ihrem <strong>System</strong> zum <strong>Magento</strong> zu importieren.<br />Er ist pünktlich von der Kron-Task (höchstens einmal täglich) dank der neuesten Datei aus dem unten definierten Ordner.</p>"
"Files location","Dateienlokalisierung"
"In <strong>var</strong> folder.","Im Ordner <strong>var</strong>."
"File format","Dateiformat"
"Examples: <strong>txt</strong> / <strong>csv;2</strong> / <strong>csv,3</strong> / <strong>csv,3""</strong>...<br />The file must be in <strong>utf-8</strong> (with or without BOM).<br />Use <strong>→</strong> for the tabulation.","Beispiele: <strong>txt</strong> / <strong>csv;2</strong> / <strong>csv,3</strong> / <strong>csv,3""</strong>...<br />Die Datei soll in <strong>utf-8</strong> sein (mit oder ohne BOM).<br />Verwenden <strong>→</strong> für dien Tabulator."
"Cron expression","Cron-Ausdruck"
"By default, everyday at 2:30 AM (<strong>30 2 * * *</strong>).<br />Maximum once per day.","Standardmäßig jeden Tag um 2.30 (<strong>30 2 * * *</strong>).<br />Höchstens einmal täglich."
"Validate email addresses not present in the file","Die E-Mail-Adressen bestätigen, die in der Datei nicht anwesenden Kunden."
"If yes, <strong>all</strong> Magento customers not present in the file will be marked as having a valid email address.","Wenn ja, <strong>alle</strong> die Magento-Kunden, die in der Datei nicht anwesend sind, werden markiert werden, als ob sie eine gültige E-Mail-Adresse hätten."
"Number of customers","Kundenanzahl"
"Number of invalid emails","Anzahl ungültiger E-Mails"
"Last file processed","Zuletzt bearbeitete Datei"
"Unsubscribers emails import","Import der abbestellten E-Mails"
"<p>This import allows to import unsubscribed emails from your <strong>System</strong> to <strong>Magento</strong>.<br />It is carried out punctually by cron job (maximum once per day) thanks to the newest file in the specified folder below.</p>","<p>Dieser Import ermöglicht, abbestellte E-Mails seit Ihrem <strong>System</strong> zum <strong>Magento</strong> zu importieren.<br />Er ist pünktlich von der Kron-Task (höchstens einmal täglich) dank der neuesten Datei aus dem unten definierten Ordner.</p>"
"Subscribe customers not present in the file","Die in der Datei nicht anwesenden Kunden abonnieren"
"If yes, <strong>all</strong> Magento customers not present in the file will be subscribed to the newsletter.","Wenn ja, <strong>alle</strong> die in der Datei nicht anwesenden Magento-Kunden werden dem Newsletter abonniert."
"Number of subscribers","Abonnentenanzahl"
"Transactional emails / Tools / Magento Admin","Transaktions-E-Mails / Hilfsmittel / Magento Administration"
"Customers synchronization / Tools / Magento Admin","Kundensynchronisierung / Hilfsmittel / Magento Administration"
"read only","schreibgeschützt"
"Customer Id field","Kunden-ID-Feld"
"In case of a change of email address, the customer identification in the system will be done with the customer id.","Bei E-Mail-Adresseänderung Kundenidentifikation auf dem System mit den Kunden-ID erfolgen."
"Recipient(s)","Empfänger"
"Sent At","Am gesendet"
"Duration","Dauer"
"Open/read","Geöffnet/gelesen"
"Unsent","Nicht gesendet"
"Blocked","Blockiert"
" Error","In Fehler"
"Email number %d - %s","E-Mail Nummer %d - %s"
"Resend email","Erneut die E-Mail senden"
"Created At: %s","Am erstellt: %s"
"Sent At: %s","Am gesendet: %s"
"Duration: %s","Dauer: %s"
"Status: <span %s>%s</span>","Zustand: <span %s>%s</span>"
"Approximate size: %s","Ungefähre Größe: %s"
"Sender: %s","Von: %s"
"Recipient(s): %s","Empfänger: %s"
"Synchronized At","Am synchronisiert"
"Running","Im Lauf"
"%s kB","%s kB"
"%s MB","%s MB"
"%s GB","%s GB"
"Cron job #<a %s>%d</a>: %s.","Kron-Task Nummer <a %s>%d</a>: %s."
"Manual import: %s.","Handimport: %s."
"Subject: %s","Betreff: %s"
