"Transactional emails","Correos electrónicos transaccionales"
"Customers synchronization","Sincronización de clientes"
"Sent email report","Informe de correos electrónicos enviados"
"Send emails","Enviar correos electrónicos"
"Minify <abbr title=""HyperText Markup Language"">HTML</abbr> code","Minificar el código <abbr title=""Lenguaje de marcas de hipertexto (HyperText Markup Language)"">HTML</abbr>"
"May require <a href=""http://us.php.net/manual/en/book.tidy.php"">PHP-TIDY</a>.","Requiere eventualmente <a href=""http://es.php.net/manual/es/book.tidy.php"">PHP-TIDY</a>."
"Sending method","Método de envío"
"Number of emails per page","Numéro de correos electrónicos por página"
"Show the subject column","Mostrar la columna asunto"
"Show the size column","Mostrar la columna tamaño"
"Show the created at column","Mostrar la columna creado el"
"Number of emails","Número de correos electrónicos"
"Table size","Tamaño de la mesa"
"Email reports","Informes por correo electrónico"
"Separate addresses by a space.","Separar las direcciones por un espacio."
"<abbr title=""Application Programming Interface"">API</abbr> synchronization","Sincronización <abbr title=""Interfaz de programación de aplicaciones (Application Programming Interface)"">API</abbr>"
"
						<p>Synchronization allow to synchronize customer data from <strong>Magento</strong> to your <strong>System</strong>.<br />It is performed in real time on the following events (whether from the backend or from the frontend):</p>
						<ul>
							<li>when customer login,</li>
							<li>when saving or deleting a customer,</li>
							<li>when saving or deleting a subscriber,</li>
							<li>when saving a shipping or a billing address of a customer,</li>
							<li>when invoicing an order.</li>
						</ul>
						<p><strong>Warning! We must enable synchronization only when configuring the synchronization is complete.</strong></p>
					","<p>La sincronización permite sincronizar los datos de los clientes <strong>Magento</strong> hacia su <strong>Sistema</strong>.<br /> se realiza en tiempo real con respecto a los siguientes eventos (que sea desde el front-office o desde el back-office):</p>
<ul>
<li>en el momento de la conexión de un cliente,</li>
<li>en el momento del registro o de la supresión de un cliente,</li>
<li>en el momento del registro o de la supresión de un abonado,</li>
<li>en el momento del registro de la dirección de envío y de facturación de un cliente,</li>
<li>en el momento de la facturación de un pedido.</li>
</ul>
<p><strong>¡Ciudado! Es necesario activar la sincronización únicamente cuando la sincronización haya sido terminada.</strong></p>"
"Lifetime of the synchronization history","Tiempo de vida del histórico de actualizaciones"
"<abbr title=""Application Programming Interface"">API</abbr>","<abbr title=""Interfaz de programación de aplicaciones (Application Programming Interface)"">API</abbr>"
"Correspondence of attributes","Correspondencia de los atributos"
"Invalid emails import","Importación de correos electrónicos inválidos"
"<p>This import allows to import invalid emails from your <strong>System</strong> to <strong>Magento</strong>.<br />It is carried out punctually by cron job (maximum once per day) thanks to the newest file in the specified folder below.</p>","<p>Está importación permite importar los correos electrónicos inválidos desde su <strong>Sistema</strong> hacia <strong>Magento</strong>.<br />Se realiza puntualmente por tarea cron (como máximo una vez al día) gracias al fichero más reciente contenido en la carpeta especificada más abajo.</p>"
"Files location","Localización de ficheros"
"In <strong>var</strong> folder.","En la carpeta <strong>var</strong>."
"File format","Formato del fichero"
"Examples: <strong>txt</strong> / <strong>csv;2</strong> / <strong>csv,3</strong> / <strong>csv,3""</strong>...<br />The file must be in <strong>utf-8</strong> (with or without BOM).<br />Use <strong>→</strong> for the tabulation.","Ejemplos: <strong>txt</strong> / <strong>csv;2</strong> / <strong>csv,3</strong> / <strong>csv,3""</strong>...<br />El fichero tiene que estar en <strong>utf-8</strong> (con o sin BOM).<br />Usar <strong>→</strong> para el tabulador."
"Cron expression","Expresión cron"
"By default, everyday at 2:30 AM (<strong>30 2 * * *</strong>).<br />Maximum once per day.","Por defecto todos los días a las 2h30 (<strong>30 2 * * *</strong>).<br />Como máximo una vez al día."
"Validate email addresses not present in the file","Validar las direcciones electrónicas no presentes en el fichero"
"If yes, <strong>all</strong> Magento customers not present in the file will be marked as having a valid email address.","En caso afirmativo, <strong>todos</strong> los clientes Magento no presentes en el fichero aparecerán como si tuvieran una dirección de correo electrónico válida."
"Number of customers","Número de clientes"
"Number of invalid emails","Número de correos electrónicos inválido"
"Last file processed","Último fichero tratado"
"Unsubscribers emails import","Importación de correos electrónicos de los desabonados"
"<p>This import allows to import unsubscribed emails from your <strong>System</strong> to <strong>Magento</strong>.<br />It is carried out punctually by cron job (maximum once per day) thanks to the newest file in the specified folder below.</p>","<p>Está importación permite importar los correos electrónicos desabonados desde su <strong>Sistema</strong> hacia <strong>Magento</strong>.<br />Se realiza puntualmente por tarea cron (como máximo una vez al día) gracias al fichero más reciente contenido en la carpeta especificada más abajo.</p>"
"Subscribe customers not present in the file","Abonar a los clientes no presentes en el fichero"
"If yes, <strong>all</strong> Magento customers not present in the file will be subscribed to the newsletter.","En caso afirmativo, <strong>todos</strong> se suscribirá a una newsletter a los clientes Magento no presentes en el fichero."
"Number of subscribers","Número de abonados"
"Transactional emails / Tools / Magento Admin","Correos electrónicos transaccionales / Herramientas / Administración de Magento"
"Customers synchronization / Tools / Magento Admin","Sincronización de clientes / Herramientas / Administración de Magento"
"read only","solo lectura"
"Customer Id field","Campo id cliente"
"In case of a change of email address, the customer identification in the system will be done with the customer id.","En caso de cambio de dirección de correo electrónico la identificación del cliente en el sistema se hará con la id del cliente."
"Recipient(s)","Destinatario(s)"
"Sent At","Enviado el"
"Duration","Duración"
"Open/read","Abierto/leído"
"Unsent","No enviado"
"Blocked","Bloqueado"
" Error","Error"
"Email number %d - %s","Correo electrónico número %d - %s"
"Resend email","Reenviar el correo electrónico"
"Created At: %s","Creado el: %s"
"Sent At: %s","Enviado el: %s"
"Duration: %s","Duración: %s"
"Status: <span %s>%s</span>","Estado: <span %s>%s</span>"
"Approximate size: %s","Tamaño aproximado: %s"
"Sender: %s","Expeditor: %s"
"Recipient(s): %s","Destinatario(s): %s"
"Synchronized At","Sincronizado el"
"Running","En proceso"
"%s kB","%s kB"
"%s MB","%s MB"
"%s GB","%s GB"
"Cron job #<a %s>%d</a>: %s.","Tarea cron n°<a %s>%d</a>: %s."
"Manual import: %s.","Importación manual: %s."
"Subject: %s","Asunto: %s"
"<a %s>Print</a> this email only if necessary.","<a %s>Imprima</a> este correo electrónico únicamente si esto es necesario."
"Sorry, your email is too old, it is not available online anymore.","Lo sentimos, su correo electrónico es demasiado antiguo, por lo cual ya no está disponible en línea."
"Email %d: %s","Correo electrónico %d: %s"
"Status: %s","Estado: %s"
"Can not send the report by email to %s.","Imposible enviar el informe por correo electrónico a %s."
" monthly","mensual"
" weekly","semanal"
" daily","diario"
"Yes - forced by admin","Sí - forzado por el administrador"
"No - forced by admin","No - forzado por el administrador"
"No - forced by customer","No - obligado por el cliente"
"%d days","%d días"
"%d days (%d weeks)","%d días (%d semanas)"
"%d days (%d month)","%d días (%d mes)"
"%d days (%d months)","%d días (%d meses)"
"not available","no disponible"
"With PHP-TIDY (%s)","Con PHP-TIDY (%s)"
"All customer data WILL BE synchronized with %s (%s).","Todos los datos del cliente VAN A SER sincronizados con %s (%s)."
"The <em>%s</em> field is a required field.","El campo <em>%s</em> es un campo obligatorio."
"Email number %d has been successfully deleted.","El correo electrónico número %d ha sido bien suprimido."
"Email number %d will be resent (warning, dates are not updated).","El correo electrónico número %d ha sido bien reenviado (cuidado, las fechas no son actualizadas)."
"Invalid email (hard bounce)","Correo electrónico inválido (hard bounce)"
"Transactional emails - %s","Correos electrónicos transaccionales - %s"
"Email address is invalid!","¡La dirección de correo electrónico no existe!"
"Email address is valid.","La dirección de correo electrónico es válida."
"%d email(s), %d send, %d open/read.","%d correo(s) electrónico(s), %d enviado(s), %d abierto(s)/leídos(s)."
"Customer is subscribed to the newsletter.","El cliente está abonado a las novedades."
"<b>without</b>","<b>sin</b>"
"<b>all</b>","<b>todos</b>"
"%d months","%d meses"
"%d years","%d años"
