"Transactional emails","E-mails de transações"
"Customers synchronization","Sincronização dos clientes"
"Sent email report","Relatório dos e-mails enviados"
"Send emails","Enviar os e-mails"
"Minify <abbr title=""HyperText Markup Language"">HTML</abbr> code","Minificar o código <abbr title=""Linguagem de marcação de hipertexto (HyperText Markup Language)"">HTML</abbr>"
"May require <a href=""http://us.php.net/manual/en/book.tidy.php"">PHP-TIDY</a>.","Requer eventualmente <a href=""http://php.net/manual/en/book.tidy.php"">PHP-TIDY</a>."
"Sending method","Método de envio"
"Number of emails per page","Número de e-mails por página"
"Show the subject column","Afixar a coluna assunto"
"Show the size column","Afixar a coluna tamanho"
"Show the created at column","Afixar a coluna criado a"
"Number of emails","Número de e-mails"
"Table size","Tamanho da mesa"
"Email reports","Relatórios por e-mail"
"Separate addresses by a space.","Separar os endereços por um espaço."
"<abbr title=""Application Programming Interface"">API</abbr> synchronization","Sincronização <abbr title=""Interface de Programação de Aplicações (Application Programming Interface)"">API</abbr>"
"
						<p>Synchronization allow to synchronize customer data from <strong>Magento</strong> to your <strong>System</strong>.<br />It is performed in real time on the following events (whether from the backend or from the frontend):</p>
						<ul>
							<li>when customer login,</li>
							<li>when saving or deleting a customer,</li>
							<li>when saving or deleting a subscriber,</li>
							<li>when saving a shipping or a billing address of a customer,</li>
							<li>when invoicing an order.</li>
						</ul>
						<p><strong>Warning! We must enable synchronization only when configuring the synchronization is complete.</strong></p>
					","<p>A sincronização permite sincronizar os dados de clientes de <strong>Magento</strong> para o seu <strong>Sistema</strong>.<br />É efetuada em tempo real nos eventos seguintes (seja desde o front-office ou desde o back-office):</p>
<ul>
<li>durante a conexão de um cliente,</li>
<li>durante o registo ou a supressão de um cliente,</li>
<li>durante o registo ou a supressão de um assinante,</li>
<li>durante o registo do endereço de entrega e de faturação de um cliente,</li>
<li>durante a faturação de um pedido.</li>
</ul>
<p><strong>Cuidado! É preciso ativar a sincronização unicamente quando a configuração da sincronização for concluída.</strong></p>"
"Lifetime of the synchronization history","Tempo de vida do histórico de sincronização"
"<abbr title=""Application Programming Interface"">API</abbr>","<abbr title=""Interface de Programação de Aplicações (Application Programming Interface)"">API</abbr>"
"Correspondence of attributes","Correspondência dos atributos"
"Invalid emails import","Importação dos e-mails inválidos"
"<p>This import allows to import invalid emails from your <strong>System</strong> to <strong>Magento</strong>.<br />It is carried out punctually by cron job (maximum once per day) thanks to the newest file in the specified folder below.</p>","<p>Esta importação permite importar os e-mails inválidos desde o seu <strong>Sistema</strong> para <strong>Magento</strong>.<br />É efetuada pontualmente por tarefa cron (no máximo uma vez por dia) graças ao ficheiro mais recente contido na pasta definida mais abaixo.</p>"
"Files location","Localização dos ficheiros"
"In <strong>var</strong> folder.","Na pasta <strong>var</strong>."
"File format","Formato do ficheiro"
"Examples: <strong>txt</strong> / <strong>csv;2</strong> / <strong>csv,3</strong> / <strong>csv,3""</strong>...<br />The file must be in <strong>utf-8</strong> (with or without BOM).<br />Use <strong>→</strong> for the tabulation.","Exemplos: <strong>txt</strong> / <strong>csv;2</strong> / <strong>csv,3</strong> / <strong>csv,3""</strong>...<br />O ficheiro deve estar em <strong>utf-8</strong> (com ou sem BOM).<br />Utilisar <strong>→</strong> para a tabulação."
"Cron expression","Expressão cron"
"By default, everyday at 2:30 AM (<strong>30 2 * * *</strong>).<br />Maximum once per day.","Por defeito, todos os dias às 2h30 (<strong>30 2 * * *</strong>).<br />No máximo uma vez por dia."
"Validate email addresses not present in the file","Validar os endereços e-mail não presentes no ficheiro"
"If yes, <strong>all</strong> Magento customers not present in the file will be marked as having a valid email address.","Se sim, <strong>todos</strong> os clientes Magento não presentes no ficheiro serão marcados comme tendo um endereço e-mail válido."
"Number of customers","Número de clientes"
"Number of invalid emails","Número de e-mails inválido"
"Last file processed","Último ficheiro tratado"
"Unsubscribers emails import","Importação dos e-mails desinscritos"
"<p>This import allows to import unsubscribed emails from your <strong>System</strong> to <strong>Magento</strong>.<br />It is carried out punctually by cron job (maximum once per day) thanks to the newest file in the specified folder below.</p>","<p>Esta importação permite importar os e-mails desinscritos desde o seu <strong>Sistema</strong> para <strong>Magento</strong>.<br />É efetuada pontualmente por tarefa cron (no máximo uma vez por dia) graças ao ficheiro mais recente contido na pasta definida mais abaixo.</p>"
"Subscribe customers not present in the file","Subscrever os clientes não presentes no ficheiro"
"If yes, <strong>all</strong> Magento customers not present in the file will be subscribed to the newsletter.","Se sim, <strong>todos</strong> os clientes Magento não presentes no ficheiro serão inscritos no boletim informativo."
"Number of subscribers","Número de inscritos"
"Transactional emails / Tools / Magento Admin","E-mails de transações / Ferramentas / Admin do Magento"
"Customers synchronization / Tools / Magento Admin","Sincronização dos clientes / Ferramentas / Admin do Magento"
"read only","somente leitura"
"Customer Id field","Campo id cliente"
"In case of a change of email address, the customer identification in the system will be done with the customer id.","Em caso de mudança de endereço de e-mail, a identificação do cliente no sistema será efetuada com a id do cliente."
"Recipient(s)","Destinatário(s)"
"Sent At","Enviado a"
"Duration","Duração"
"Open/read","Aberto/lido"
"Unsent","Não enviado"
"Blocked","Bloqueado"
" Error","Erro"
"Email number %d - %s","E-mail número %d - %s"
"Resend email","Reenviar o e-mail"
"Created At: %s","Criado a: %s"
"Sent At: %s","Enviado a: %s"
"Duration: %s","Duração: %s"
"Status: <span %s>%s</span>","Estado: <span %s>%s</span>"
"Approximate size: %s","Tamanho aproximado: %s"
"Sender: %s","Remetente: %s"
"Recipient(s): %s","Destinatário(s): %s"
"Synchronized At","Sincronizado a"
"Running","Em processo"
"%s kB","%s kB"
"%s MB","%s MB"
"%s GB","%s GB"
"Cron job #<a %s>%d</a>: %s.","Tarefa cron n°<a %s>%d</a>: %s."
"Manual import: %s.","Importação manual: %s."
"Subject: %s","Assunto: %s"
"<a %s>Print</a> this email only if necessary.","<a %s>Imprima</a> este e-mail unicamente se for necessário."
"Sorry, your email is too old, it is not available online anymore.","Desculpe, o seu e-mail é muito antigo, por isso já não está disponível online."
"Email %d: %s","E-mail %d: %s"
"Status: %s","Estado: %s"
"Can not send the report by email to %s.","Impossível enviar o relatório por e-mail a %s."
" monthly","mensal"
" weekly","semanal"
" daily","diário"
"Yes - forced by admin","Sim - forçado pelo administrador"
"No - forced by admin","Não - forçado pelo administrador"
"No - forced by customer","Não - forçado pelo cliente"
"%d days","%d dias"
"%d days (%d weeks)","%d dias (%d semanas)"
"%d days (%d month)","%d dias (%d mês)"
"%d days (%d months)","%d dias (%d meses)"
"not available","não está disponível"
"With PHP-TIDY (%s)","Com PHP-TIDY (%s)"
"All customer data WILL BE synchronized with %s (%s).","Todos os dados do cliente VÃO SER sincronizados com %s (%s)."
"The <em>%s</em> field is a required field.","O campo <em>%s</em> é um campo obrigatório."
"Email number %d has been successfully deleted.","O e-mail número %d foi bem apagado."
"Email number %d will be resent (warning, dates are not updated).","O e-mail número %d foi bem reenviado (cuidado, as datas não são atualizadas)."
"Invalid email (hard bounce)","E-mail inválido (hard bounce)"
"Transactional emails - %s","E-mails de transação - %s"
"Email address is invalid!","O endereço de e-mail é inválido."
"Email address is valid.","O endereço de e-mail é válido."
"%d email(s), %d send, %d open/read.","%d e-mail(s), %d enviado(s), %d aberto(s)/lido(s)."
"Customer is subscribed to the newsletter.","O cliente subscreveu ao boletim informativo."
"<b>without</b>","<b>sem</b>"
"<b>all</b>","<b>todos</b>"
"%d months","%d meses"
"%d years","%d anos"
