"Transactional emails","Courriels transactionnels"
"Customers synchronization","Synchronisation des clients"
"Emails and wysiwyg directives","Directives courriels et wysiwyg"
"Sent email report","Rapport des courriels envoyés"
"Send emails","Envoyer les courriels"
"Emails encoding","Encodage des courriels"
"Minify <abbr title=""HyperText Markup Language"">HTML</abbr> code","Minifier le code <abbr title=""Langage de balisage hypertexte (HyperText Markup Language)"">HTML</abbr>"
"Email history lifetime and email header colors","Durée de vie de l'historique des courriels et couleurs de l'entête des courriels"
"Number of emails per page","Nombre de courriels par page"
"Show the subject column","Afficher la colonne sujet"
"Show the size column","Afficher la colonne taille"
"Show the created at column","Afficher la colonne créé le"
"Number of emails","Nombre de courriels"
"Table size","Taille de la table"
"Email reports","Rapports par courriel"
"Separate addresses by a space.","Séparer les adresses par un espace."
"Send an email now","Envoyer un email maintenant"
"All <em>base_url</em> must contain","Toutes les <em lang=""en"">base_url</em> doivent contenir"
"Separate keywords by a space.","Séparer les mots clefs par un espace."
"All <em>base_url</em> must not contain","Toutes les <em lang=""en"">base_url</em> ne doivent pas contenir"
"Email address must not contains","L'adresse de courriel ne doit pas contenir"
"
						<p>Synchronization allow to synchronize customer data from <strong>Magento</strong> to your <strong>System</strong>.<br />It is performed every minutes by cron job on the following events (whether from the backend or from the frontend):</p>
						<ul>
							<li>when customer login,</li>
							<li>when saving or deleting a customer,</li>
							<li>when saving or deleting a subscriber,</li>
							<li>when saving a shipping or a billing address of a customer,</li>
							<li>when invoicing an order.</li>
						</ul>
					","<p>La synchronisation permet de synchroniser les données des clients de <strong>Magento</strong> vers votre <strong>Système</strong>.<br />Elle est réalisée chaque minute via une tâche cron sur les événements suivants (que ce soit depuis le front-office ou depuis le back-office) :</p>
<ul>
<li>lors de la connexion d'un client,</li>
<li>lors de l'enregistrement ou de la suppression d'un client,</li>
<li>lors de l'enregistrement ou de la suppression d'un abonné,</li>
<li>lors de l'enregistrement de l'adresse de livraison ou de facturation d'un client,</li>
<li>lors de la facturation d'une commande.</li>
</ul>"
"Synchronize customers","Synchroniser les clients"
"History lifetime","Durée de vie de l'historique"
"Username","Nom d'utilisateur"
"Correspondence of attributes","Correspondance des attributs"
"Customer Id field","Champ id client"
"In case of a change of email address, the customer identification in the system will be done with the customer id.","En cas de changement d'adresse de courriel, l'identification du client sur le système se fera avec l'id du client."
"Number of synchronizations","Nombre de synchronisations"
"Invalid emails import","Import des courriels invalides"
"<p>This import allows to import invalid emails from your <strong>System</strong> to <strong>Magento</strong>.<br />It is carried out punctually by cron job thanks to the newest file in the specified folder below.<br />Whatever the file format is, the module looks for an email address (the rest is ignored).</p>","<p>Cet import permet d'importer les courriels invalides depuis votre <strong>Système</strong> vers <strong>Magento</strong>.<br />Il est réalisé ponctuellement par tâche cron grâce au fichier le plus récent contenu dans le dossier défini ci-dessous.<br />Quelque soit le format du fichier, le module cherche une adresse de courriel (le reste est ignoré).</p>"
"Files location","Localisation des fichiers"
"In <strong>var</strong> folder.","Dans le dossier <strong>var</strong>."
"File format","Format du fichier"
"Examples: <b>txt</b> / <b>csv;2</b> / <b>csv,3""</b><br />The file must be in <b>utf-8</b> (with or without BOM).<br />Use <b>→</b> for the tabulation.","Exemples : <b>txt</b> / <b>csv;2</b> / <b>csv,3""</b><br />Le fichier doit être en <b>utf-8</b> (avec ou sans BOM).<br />Utiliser <b>→</b> pour la tabulation."
"Cron expression","Expression cron"
"By default, everyday at 2:30 AM (<strong>30 2 * * *</strong>).<br />Warning: maximum once per day.","Par défaut, tous les jours à 2h30 (<strong>30 2 * * *</strong>).<br />Attention : au maximum une fois par jour."
"Validate email addresses not present in the file","Valider les adresses de courriels non présentes dans le fichier"
"If yes, <strong>all</strong> Magento customers not present in the file will be marked as having a valid email address.","Si oui, <strong>tous</strong> les clients Magento non présents dans le fichier seront marqués comme ayant une adresse de courriel valide."
"Number of customers","Nombre de clients"
"Number of invalid emails","Nombre de courriels invalides"
"Last file processed","Dernier fichier traité"
"Unsubscribers emails import","Import des courriels désabonnés"
"<p>This import allows to import unsubscribed emails from your <strong>System</strong> to <strong>Magento</strong>.<br />It is carried out punctually by cron job thanks to the newest file in the specified folder below.<br />Whatever the file format is, the module looks for an email address (the rest is ignored).</p>","<p>Cet import permet d'importer les courriels désabonnés depuis votre <strong>Système</strong> vers <strong>Magento</strong>.<br />Il est réalisé ponctuellement par tâche cron grâce au fichier le plus récent contenu dans le dossier défini ci-dessous.<br />Quelque soit le format du fichier, le module cherche une adresse de courriel (le reste est ignoré).</p>"
"Subscribe customers not present in the file","Abonner les clients non présents dans le fichier"
"If yes, <strong>all</strong> Magento customers not present in the file will be subscribed to the newsletter.","Si oui, <strong>tous</strong> les clients Magento non présents dans le fichier seront inscrits à l'infolettre."
"Number of subscribers","Nombre d'abonnés"
"They are extraordinary new directives:","Il y a de nouvelles directives extraordinaires :"
"Picture directive","Directive picture"
"Show image dimensions","Afficher les dimensions des images"
