"Transactional emails","E-mails de transações"
"Customers synchronization","Sincronização de clientes"
"Emails and wysiwyg directives","Instruçoes e-mails e wysiwyg"
"Sent email report","Relatório dos e-mails enviados"
"Send emails","Enviar os e-mails"
"Emails encoding","Codificação dos e-mails"
"Minify <abbr title=""HyperText Markup Language"">HTML</abbr> code","Minificar o código <abbr title=""Linguagem de marcação de hipertexto (HyperText Markup Language)"">HTML</abbr>"
"Email history lifetime and email header colors","Duração de vida do histórico dos e-mails e cores do cabeçalho dos e-mails"
"Number of emails per page","Número de e-mails por página"
"Show the subject column","Afixar a coluna tema"
"Show the size column","Afixar a coluna medida"
"Show the created at column","Afixar a coluna criado a"
"Number of emails","Número de e-mails"
"Table size","Medida da mesa"
"Email reports","Relatórios por e-mail"
"Separate addresses by a space.","Separar os endereços por um espaço."
"Send an email now","Enviar e-mail agora"
"All <em>base_url</em> must contain","Todas as <em lang=""en"">base_url</em> devem incluir"
"Separate keywords by a space.","Separar as palavras-chaves por um espaço."
"All <em>base_url</em> must not contain","Todas as <em lang=""en"">base_url</em> nao devem incluir"
"Email address must not contains","O endereço e-mail não deve incluir"
"
						<p>Synchronization allow to synchronize customer data from <strong>OpenMage</strong> to your <strong>System</strong>.<br />It is performed every minutes by cron job on the following events (whether from the backend or from the frontend):</p>
						<ul>
							<li>when customer login,</li>
							<li>when saving or deleting a customer,</li>
							<li>when saving or deleting a subscriber,</li>
							<li>when saving a shipping or a billing address of a customer,</li>
							<li>when invoicing an order.</li>
						</ul>
					","<p>A sincronização permite sincronizar os dados de clientes de <strong>OpenMage</strong> para o seu <strong>Sistema</strong>.<br />É efetuada cada minuto via tarefa cron nos eventos seguintes (seja desde o front-office ou desde o back-office):</p>
<ul>
<li>durante a conexão de um cliente,</li>
<li>durante o registo ou a supressão de um cliente,</li>
<li>durante o registo ou a supressão de um assinante,</li>
<li>durante o registo do endereço de entrega e de faturação de um cliente,</li>
<li>durante a faturação de um pedido.</li>
</ul>"
"History lifetime","Tempo de vida do histórico"
"Number of synchronizations","Numéro de sincronizaçoes"
"Username","Nome do usuário"
"Correspondence of attributes","Correspondência dos atributos"
"Customer Id field","Campo id cliente"
"In case of a change of email address, the customer identification in the system will be done with the customer id.","Em caso de mudança de endereço de e-mail, a identificação do cliente no sistema será efetuada com a id do cliente."
"Invalid emails import","Importação dos e-mails inválidos"
"<p>This import allows to import invalid emails from your <strong>System</strong> to <strong>OpenMage</strong>.<br />It is carried out punctually by cron job thanks to the newest file in the specified folder below.<br />Whatever the file format is, the module looks for an email address (the rest is ignored).</p>","<p>Esta importação permite importar os e-mails inválidos desde o seu <strong>Sistema</strong> para <strong>OpenMage</strong>.<br />É efetuada pontualmente por tarefa cron graças ao ficheiro mais recente contido na pasta definida abaixo.</p>"
"Files location","Localização dos arquivos"
"In <strong>var</strong> folder.","Na pasta <strong>var</strong>."
"File format","Formato do arquivo"
"Examples: <b>txt</b> / <b>csv;2</b> / <b>csv,3""</b><br />The file must be in <b>utf-8</b> (with or without BOM).<br />Use <b>→</b> for the tabulation.","Exemplos: <b>txt</b> / <b>csv;2</b> / <b>csv,3""</b><br />O arquivo deve estar em <b>utf-8</b> (com ou sem BOM).<br />Utilisar <b>→</b> para a tabulação."
"Cron expression","Expressão cron"
"By default, everyday at 2:30 AM (<strong>30 2 * * *</strong>).<br />Warning: maximum once per day.","Por defeito, todos os dias às 2h30 (<strong>30 2 * * *</strong>).<br />No máximo uma vez por dia."
"Validate email addresses not present in the file","Validar os endereços e-mail não presentes no arquivo"
"If yes, <strong>all</strong> customers not present in the file will be marked as having a valid email address.","Se sim, <strong>todos</strong> os clientes não presentes no arquivo serão marcados comme tendo um endereço e-mail válido."
"Number of customers","Número de clientes"
"Number of invalid emails","Número de e-mails inválido"
"Last file processed","Último arquivo processado"
"Unsubscribers emails import","Importação dos e-mails desinscritos"
